ID,ArgosID,Message_Type,TransmissionDateTime,EffectiveDate,LC,Residual,IQ,Lat1,Lon1,Lat2,Lon2,NbMes,NbMes120dB,BestLevel,PassDuration,NOPC,CalculFreq,Altitude,,Comment,EditDate,EditUser,RecordCreationDate
344357,052674,DS,,04-25-2008 17:40:40,,,,,,,,,,,,,,,,,,dlp,05-11-2010
344356,052674,DS,,04-25-2008 17:40:40,,,,,,,,,,,,,,,,,,dlp,05-11-2010
345522,052674,DIAG,04-25-2008 17:41:03,04-25-2008 17:41:03,B,,00,33.084000,-117.719000,30.018000,-101.537000,002,000,-131 dB, 46s,0,401 676514.6 Hz,   0 m,,,,dlp,05-11-2010
345523,052674,DIAG,04-25-2008 17:42:35,04-25-2008 17:42:35,Z,,30,32.614000,-117.209000,32.370000,-115.988000,006,000,-125 dB,276s,0,401 676568.1 Hz,   0 m,,,,dlp,05-11-2010
344472,052674,GPS,04-25-2008 18:13:00,04-25-2008 18:13:00,,0.2,,32.617477,-117.100089,,,,,,,,,,,,,,05-11-2010
344473,052674,GPS,04-25-2008 19:13:00,04-25-2008 19:13:00,,0.3,,32.613554,-117.098793,,,,,,,,,-66,,,,,05-11-2010
344359,052674,DS,,04-25-2008 19:14:00,,,,,,,,,,,,,,,,,,dlp,05-11-2010
344358,052674,DS,,04-25-2008 19:14:00,,,,,,,,,,,,,,,,,,dlp,05-11-2010
345525,052674,DIAG,04-25-2008 19:14:45,04-25-2008 19:14:45,2,,50,32.614000,-117.109000,39.376000,-150.455000,006,000,-129 dB,455s,1,401 676514.6 Hz,   0 m,,,,dlp,05-11-2010
345524,052674,DIAG,04-25-2008 19:15:31,04-25-2008 19:15:31,A,,60,32.624000,-117.116000,42.013000,-163.542000,003,000,-131 dB,182s,1,401 676514.6 Hz,   0 m,,,,dlp,05-11-2010
344474,052674,GPS,04-25-2008 20:13:00,04-25-2008 20:13:00,,,,,,,,,,,,,,,,,,,05-11-2010
344360,052674,DS,04-25-2008 20:57:53,04-25-2008 20:57:53,0,,,32.562000,-117.338000,,,,,,,,401676508,0.000,,,,dlp,05-11-2010
345526,052674,DIAG,04-25-2008 20:57:53,04-25-2008 20:57:53,0,,58,32.562000,-117.338000,32.885000,-115.798000,005,000,-128 dB,455s,2,401 676507.6 Hz,   0 m,,,,dlp,05-11-2010
344475,052674,GPS,04-25-2008 21:43:00,04-25-2008 21:43:00,,,,,,,,,,,,,,,,,,,05-11-2010
345527,052674,DIAG,04-25-2008 22:30:08,04-25-2008 22:30:08,1,,57,32.611000,-117.138000,42.339000,-70.613000,005,000,-130 dB,396s,3,401 676559.2 Hz,   0 m,,,,dlp,05-11-2010
344361,052674,DS,04-25-2008 22:30:08,04-25-2008 22:30:08,1,,,32.611000,-117.138000,,,,,,,,401676559,0.000,,,,dlp,05-11-2010
344362,052674,DS,,04-25-2008 22:37:12,,,,,,,,,,,,,,,,,,dlp,05-11-2010
