ID,ArgosID,Message_Type,TransmissionDateTime,EffectiveDate,LC,Residual,IQ,Lat1,Lon1,Lat2,Lon2,NbMes,NbMes120dB,BestLevel,PassDuration,NOPC,CalculFreq,Altitude,,Comment,EditDate,EditUser,RecordCreationDate
378395,044366,GPS,03-25-2009 17:59:08,03-25-2009 17:59:08,,,,,,,,,,,,,,,,,,,05-11-2010
378396,044366,GPS,03-25-2009 19:19:00,03-25-2009 19:19:00,,6,,32.613706,-117.098396,,,,,,,,,-57,,,,,05-11-2010
378397,044366,GPS,03-25-2009 19:43:00,03-25-2009 19:43:00,,7.1,,32.613815,-117.098793,,,,,,,,,,,,07-05-2011,SWFSC_dlp,05-11-2010
378019,044366,DS,03-25-2009 21:20:42,03-25-2009 21:20:42,1,,,32.633000,-117.076000,,,,,,,,401677426,0.000,,,,dlp,05-11-2010
377131,044366,DIAG,03-25-2009 21:20:42,03-25-2009 21:20:42,1,,56,32.633000,-117.076000,31.148000,-124.416000,006,000,-125 dB,724s,2,401 677426.3 Hz,   0 m,,,,dlp,05-11-2010
378020,044366,DS,,03-25-2009 23:03:08,,,,,,,,,,,,,,,,,,dlp,05-11-2010
377132,044366,DIAG,03-25-2009 23:03:08,03-25-2009 23:03:08,Z,,00,,,,,001,000,-133 dB,???s,?,401 677426.3 Hz,   0 m,,,,dlp,05-11-2010
378398,044366,GPS,03-26-2009 0:13:46,03-26-2009 0:13:46,,0.7,,32.611534,-117.108474,,,,,,,,,,,,07-05-2011,SWFSC_dlp,05-11-2010
378021,044366,DS,,03-26-2009 3:11:15,,,,,,,,,,,,,,,,,,dlp,05-11-2010
377133,044366,DIAG,03-26-2009 3:11:15,03-26-2009 3:11:15,Z,,00,,,,,001,000,-129 dB,???s,?,401 677426.3 Hz,   0 m,,,,dlp,05-11-2010
378022,044366,DS,03-26-2009 4:00:17,03-26-2009 4:00:17,1,,,32.612000,-117.102000,,,,,,,,401677422,0.000,,,,dlp,05-11-2010
377134,044366,DIAG,03-26-2009 4:00:17,03-26-2009 4:00:17,1,,58,32.612000,-117.102000,37.903000,-90.008000,004,000,-126 dB,333s,2,401 677422.2 Hz,   0 m,,,,dlp,05-11-2010
378399,044366,GPS,03-26-2009 5:01:38,03-26-2009 5:01:38,,1.9,,32.611097,-117.104392,,,,,,,,,-78,,,,,05-11-2010
378023,044366,DS,03-26-2009 5:42:54,03-26-2009 5:42:54,A,,,32.615000,-117.102000,,,,,,,,401677426,0.000,,,,dlp,05-11-2010
377135,044366,DIAG,03-26-2009 5:42:54,03-26-2009 5:42:54,A,,08,32.615000,-117.102000,28.421000,-138.173000,003,000,-126 dB,446s,3,401 677426.1 Hz,   0 m,,,,dlp,05-11-2010
378024,044366,DS,03-26-2009 6:24:51,03-26-2009 6:24:51,B,,,32.608000,-117.124000,,,,,,,,401677426,0.000,,,,dlp,05-11-2010
377136,044366,DIAG,03-26-2009 6:24:51,03-26-2009 6:24:51,B,,00,32.608000,-117.124000,23.653000,-160.446000,002,000,-127 dB, 58s,2,401 677426.1 Hz,   0 m,,,,dlp,05-11-2010
377137,044366,DIAG,03-26-2009 8:09:59,03-26-2009 8:09:59,B,,00,32.604000,-117.113000,22.060000,-66.889000,002,000,-134 dB,175s,2,401 677426.1 Hz,   0 m,,,,dlp,05-11-2010
