ID,ArgosID,Message_Type,TransmissionDateTime,EffectiveDate,LC,Residual,IQ,Lat1,Lon1,Lat2,Lon2,NbMes,NbMes120dB,BestLevel,PassDuration,NOPC,CalculFreq,Altitude,,Comment,EditDate,EditUser,RecordCreationDate
306772,037616,DIAG,05-24-2007 6:45:00,05-24-2007 6:45:00,1,,50,32.595000,-117.104000,25.693000,-149.930000,005,000,-127 dB,427s, ,401 676738.3 Hz,   0 m,,,,dlp,05-10-2010
303931,037616,DS,05-24-2007 6:45:00,05-24-2007 6:45:00,1,,,32.595000,-117.104000,,,,,,,,401676741,0.000,,,,dlp,05-10-2010
305067,037616,GPS,05-24-2007 7:31:00,05-24-2007 7:31:00,,5.3,,32.612392,-117.104042,,,,,,,,,99,,,,,05-10-2010
305068,037616,GPS,05-24-2007 9:01:56,05-24-2007 9:01:56,,0.1,,32.612643,-117.104161,,,,,,,,,,,,,,05-10-2010
306773,037616,DIAG,05-24-2007 9:15:40,05-24-2007 9:15:40,A,,08,32.614000,-117.106000,29.255000,-101.411000,003,000,-124 dB,342s, ,401 676741.0 Hz,   0 m,,,,dlp,05-10-2010
303932,037616,DS,05-24-2007 9:17:55,05-24-2007 9:17:55,3,,,32.614000,-117.106000,,,,,,,,401676741,0.000,,,,dlp,05-10-2010
303933,037616,DS,05-24-2007 10:57:49,05-24-2007 10:57:49,1,,,32.619000,-117.104000,,,,,,,,401676741,0.000,,,,dlp,05-10-2010
306774,037616,DIAG,05-24-2007 10:57:49,05-24-2007 10:57:49,1,,58,32.619000,-117.104000,39.303000,-149.361000,005,000,-129 dB,607s, ,401 676751.9 Hz,   0 m,,,,dlp,05-10-2010
303934,037616,DS,05-24-2007 11:42:38,05-24-2007 11:42:38,1,,,32.616000,-117.110000,,,,,,,,401676755,0.000,,,,dlp,05-10-2010
306775,037616,DIAG,05-24-2007 11:42:38,05-24-2007 11:42:38,1,,68,32.616000,-117.110000,29.841000,-103.613000,004,000,-125 dB,822s, ,401 676749.7 Hz,   0 m,,,,dlp,05-10-2010
305069,037616,GPS,05-24-2007 11:42:50,05-24-2007 11:42:50,,16.1,,32.611260,-117.105570,,,,,,,,,99,,,,,05-10-2010
303935,037616,DS,,05-24-2007 12:46:38,,,,,,,,,,,,,,,,,,dlp,05-10-2010
306776,037616,DIAG,05-24-2007 12:46:38,05-24-2007 12:46:38,Z,,00,,,,,001,000,-125 dB,?  s, ,401 650000.0 Hz,   0 m,,,,dlp,05-10-2010
303936,037616,DS,05-24-2007 13:22:37,05-24-2007 13:22:37,1,,,32.609000,-117.110000,,,,,,,,401676755,0.000,,,,dlp,05-10-2010
306777,037616,DIAG,05-24-2007 13:22:37,05-24-2007 13:22:37,1,,58,32.609000,-117.110000,39.819000,-151.744000,004,000,-129 dB,617s, ,401 676755.1 Hz,   0 m,,,,dlp,05-10-2010
303937,037616,DS,05-24-2007 14:24:53,05-24-2007 14:24:53,2,,,32.618000,-117.116000,,,,,,,,401676766,0.000,,,,dlp,05-10-2010
306778,037616,DIAG,05-24-2007 14:24:53,05-24-2007 14:24:53,2,,58,32.618000,-117.116000,37.993000,-143.342000,004,000,-122 dB,420s, ,401 676766.3 Hz,   0 m,,,,dlp,05-10-2010
306779,037616,DIAG,05-24-2007 17:29:20,05-24-2007 17:29:20,A,,08,32.610000,-117.036000,27.226000,-90.539000,003,000,-128 dB,216s, ,401 676780.9 Hz,   0 m,,,,dlp,05-10-2010
303938,037616,DS,05-24-2007 17:29:20,05-24-2007 17:29:20,A,,,32.610000,-117.036000,,,,,,,,401676766,0.000,,,,dlp,05-10-2010
303939,037616,DS,05-24-2007 21:25:06,05-24-2007 21:25:06,0,,,32.592000,-117.047000,,,,,,,,401676762,0.000,,,,dlp,05-10-2010
306780,037616,DIAG,05-24-2007 21:25:06,05-24-2007 21:25:06,0,,58,32.592000,-117.047000,44.412000,-60.460000,004,000,-134 dB,246s, ,401 676791.3 Hz,   0 m,,,,dlp,05-10-2010
303940,037616,DS,05-24-2007 22:21:10,05-24-2007 22:21:10,1,,,32.622000,-117.122000,,,,,,,,401676762,0.000,,,,dlp,05-10-2010
306781,037616,DIAG,05-24-2007 22:21:10,05-24-2007 22:21:10,1,,66,32.622000,-117.122000,24.670000,-153.590000,004,000,-130 dB,326s, ,401 676762.1 Hz,   0 m,,,,dlp,05-10-2010
303941,037616,DS,05-24-2007 23:06:02,05-24-2007 23:06:02,1,,,32.613000,-117.118000,,,,,,,,401676762,0.000,,,,dlp,05-10-2010
306782,037616,DIAG,05-24-2007 23:06:02,05-24-2007 23:06:02,A,,08,32.611000,-117.102000,34.268000,-109.016000,003,000,-124 dB,555s, ,401 676758.1 Hz,   0 m,,,,dlp,05-10-2010
303942,037616,DS,05-24-2007 23:59:50,05-24-2007 23:59:50,B,,,32.585000,-117.157000,,,,,,,,401676762,0.000,,,,dlp,05-10-2010
306783,037616,DIAG,05-24-2007 23:59:50,05-24-2007 23:59:50,B,,00,32.585000,-117.157000,36.770000,-96.091000,002,000,-123 dB,243s, ,401 676762.1 Hz,   0 m,,,,dlp,05-10-2010
306784,037616,DIAG,05-25-2007 0:01:51,05-25-2007 0:01:51,Z,,00,,,,,001,000,-123 dB,?  s, ,401 650000.0 Hz,   0 m,,,,dlp,05-10-2010
306785,037616,DIAG,05-25-2007 0:45:22,05-25-2007 0:45:22,A,,08,32.606000,-117.100000,23.916000,-156.579000,003,000,-128 dB,253s, ,401 676742.3 Hz,   0 m,,,,dlp,05-10-2010
303943,037616,DS,05-25-2007 0:45:22,05-25-2007 0:45:22,A,,,32.606000,-117.100000,,,,,,,,401676762,0.000,,,,dlp,05-10-2010
303944,037616,DS,05-25-2007 1:44:18,05-25-2007 1:44:18,A,,,32.613000,-117.105000,,,,,,,,401676762,0.000,,,,dlp,05-10-2010
306786,037616,DIAG,05-25-2007 1:44:18,05-25-2007 1:44:18,A,,08,32.613000,-117.105000,26.944000,-143.697000,003,000,-125 dB,399s, ,401 676739.4 Hz,   0 m,,,,dlp,05-10-2010
303945,037616,DS,05-25-2007 4:41:42,05-25-2007 4:41:42,A,,,32.616000,-117.107000,,,,,,,,401676737,0.000,,,,dlp,05-10-2010
306787,037616,DIAG,05-25-2007 4:41:42,05-25-2007 4:41:42,A,,08,32.616000,-117.107000,37.661000,-91.364000,003,000,-124 dB,619s, ,401 676736.8 Hz,   0 m,,,,dlp,05-10-2010
305070,037616,GPS,05-25-2007 5:02:25,05-25-2007 5:02:25,,4,,32.612122,-117.105604,,,,,,,,,-43,,,,,05-10-2010
