ID,Source,ArgosID,Message_Type,TransmissionDateTime,EffectiveDate,LC,Residual,IQ,Lat1,Lat1Places,Lon1,Lon1Places,Lat2,Lat2Places,Lon2,Lon2Places,NbMes,NbMes120dB,BestLevel,PassDuration,NOPC,CalculFreq,Altitude,Data,Comment,EditDate,EditUser,RecordCreationDate
212365,,126070,DS,,,,,,,,,,,,,,,,,,,,,,,,,
212353,,126070,DS,,,,,,,,,,,,,,,,,,,,,,,,,
212350,,126070,DS,,,,,,,,,,,,,,,,,,,,,,,,,
212348,,126070,DS,,,,,,,,,,,,,,,,,,,,,,,,,
212358,,126070,DS,,,,,,,,,,,,,,,,,,,,,,,,,
212360,,126070,DS,,,,,,,,,,,,,,,,,,,,,,,,,
212362,,126070,DS,,,,,,,,,,,,,,,,,,,,,,,,,
212351,,126070,DS,,,,,,,,,,,,,,,,,,,,,,,,,
212343,,126070,DS,,,,,,,,,,,,,,,,,,,,,,,,,
212356,,126070,DS,,,,,,,,,,,,,,,,,,,,,,,,,
212341,,126070,DS,,,,,,,,,,,,,,,,,,,,,,,,,
212368,,126070,DS,,,,,,,,,,,,,,,,,,,,,,,,,
212370,,126070,DS,,,,,,,,,,,,,,,,,,,,,,,,,
212337,,126070,DS,,,,,,,,,,,,,,,,,,,,,,,,,
212372,,126070,DS,,,,,,,,,,,,,,,,,,,,,,,,,
212339,,126070,DS,,,,,,,,,,,,,,,,,,,,,,,,,
211261,,126070,GPS,03-13-2014 17:03:00,,,14.3,,32.621440,,-117.102890,,,,,,,,,,,,,,,,,
210079,,126070,DS,03-13-2014 17:05:13,,1,,,32.633000,,-117.099000,,,,,,,,,,,,,,,,,
211338,,126070,DIAG,03-13-2014 17:05:13,,1,,,32.633000,,-117.099000,,28.545000,,-135.690000,,,,,,,,,,,,,
211340,,126070,DS,03-13-2014 17:33:08,,B,,,32.634000,,-117.099000,,,,,,,,,,,,,,,,,
210080,,126070,DIAG,03-13-2014 17:33:08,,B,,,32.634000,,-117.099000,,32.634000,,-117.099000,,,,,,,,,,,,,
210081,,126070,DIAG,03-13-2014 18:34:38,,2,,,32.627000,,-117.111000,,32.627000,,-117.111000,,,,,,,,,,,,,
211341,,126070,DS,03-13-2014 18:34:38,,2,,,32.627000,,-117.111000,,,,,,,,,,,,,,,,,
211342,,126070,DS,03-13-2014 19:12:56,,1,,,32.617000,,-117.108000,,,,,,,,,,,,,,,,,
210082,,126070,DIAG,03-13-2014 19:12:56,,1,,,32.617000,,-117.108000,,32.617000,,-117.108000,,,,,,,,,,,,,
211343,,126070,DS,03-13-2014 20:12:45,,B,,,32.608000,,-117.111000,,,,,,,,,,,,,,,,,
210083,,126070,DIAG,03-13-2014 20:12:45,,B,,,32.608000,,-117.111000,,32.608000,,-117.111000,,,,,,,,,,,,,
211344,,126070,DS,03-13-2014 20:50:10,,A,,,32.604000,,-117.103000,,,,,,,,,,,,,,,,,
210084,,126070,DIAG,03-13-2014 20:50:10,,A,,,32.604000,,-117.103000,,32.604000,,-117.103000,,,,,,,,,,,,,
210085,,126070,DIAG,03-13-2014 21:12:29,,3,,,32.606000,,-117.111000,,32.606000,,-117.111000,,,,,,,,,,,,,
211345,,126070,DS,03-13-2014 21:12:29,,3,,,32.606000,,-117.111000,,,,,,,,,,,,,,,,,
211346,,126070,DS,03-13-2014 21:55:45,,A,,,32.616000,,-117.090000,,,,,,,,,,,,,,,,,
210086,,126070,DIAG,03-13-2014 21:55:45,,A,,,32.616000,,-117.090000,,32.616000,,-117.090000,,,,,,,,,,,,,
211264,,126070,DIAG,03-13-2014 22:05:23,,B,,,32.612000,,-117.115000,,32.612000,,-117.115000,,,,,,,,,,,,,
210087,,126070,DS,03-13-2014 22:05:23,,B,,,32.612000,,-117.115000,,,,,,,,,,,,,,,,,
211347,,126070,DS,03-13-2014 22:57:18,,3,,,32.613000,,-117.112000,,,,,,,,,,,,,,,,,
210088,,126070,DIAG,03-13-2014 22:57:18,,3,,,32.613000,,-117.112000,,32.613000,,-117.112000,,,,,,,,,,,,,
211348,,126070,DS,03-13-2014 23:31:58,,B,,,32.611000,,-117.112000,,,,,,,,,,,,,,,,,
210089,,126070,DIAG,03-13-2014 23:31:58,,B,,,32.611000,,-117.112000,,32.611000,,-117.112000,,,,,,,,,,,,,
210090,,126070,GPS,03-14-2014 0:43:03,,,8.2,,32.618831,,-117.114234,,,,,,,,,,,,,,,,,
210091,,126070,DIAG,03-14-2014 2:15:01,,A,,,32.616000,,-117.116000,,32.616000,,-117.116000,,,,,,,,,,,,,
211349,,126070,DS,03-14-2014 2:15:01,,A,,,32.616000,,-117.116000,,,,,,,,,,,,,,,,,
210092,,126070,DIAG,03-14-2014 3:47:43,,B,,,32.619000,,-117.116000,,32.619000,,-117.116000,,,,,,,,,,,,,
211350,,126070,DS,03-14-2014 3:47:43,,B,,,32.619000,,-117.116000,,,,,,,,,,,,,,,,,
210093,,126070,DIAG,03-14-2014 3:53:08,,B,,,32.620000,,-117.112000,,32.620000,,-117.112000,,,,,,,,,,,,,
211351,,126070,DS,03-14-2014 3:53:08,,B,,,32.620000,,-117.112000,,,,,,,,,,,,,,,,,
210094,,126070,DIAG,03-14-2014 4:47:30,,B,,,32.620000,,-117.110000,,32.620000,,-117.110000,,,,,,,,,,,,,
211352,,126070,DS,03-14-2014 4:47:30,,B,,,32.620000,,-117.110000,,,,,,,,,,,,,,,,,
210095,,126070,DIAG,03-14-2014 5:15:02,,A,,,32.613000,,-117.116000,,32.613000,,-117.116000,,,,,,,,,,,,,
211353,,126070,DS,03-14-2014 5:15:02,,A,,,32.613000,,-117.116000,,,,,,,,,,,,,,,,,
211354,,126070,DS,03-14-2014 5:25:54,,2,,,32.612000,,-117.117000,,,,,,,,,,,,,,,,,
210096,,126070,DIAG,03-14-2014 5:25:54,,2,,,32.612000,,-117.117000,,32.612000,,-117.117000,,,,,,,,,,,,,
211355,,126070,DS,03-14-2014 6:19:50,,B,,,32.610000,,-117.114000,,,,,,,,,,,,,,,,,
210097,,126070,DIAG,03-14-2014 6:19:50,,B,,,32.610000,,-117.114000,,32.610000,,-117.114000,,,,,,,,,,,,,
210098,,126070,GPS,03-14-2014 7:38:28,,,6.8,,32.609298,,-117.118873,,,,,,,,,,,,,,,,,
211356,,126070,DS,03-14-2014 9:33:57,,B,,,32.606000,,-117.115000,,,,,,,,,,,,,,,,,
210099,,126070,DIAG,03-14-2014 9:33:57,,B,,,32.606000,,-117.115000,,32.606000,,-117.115000,,,,,,,,,,,,,
211357,,126070,DS,03-14-2014 10:18:32,,B,,,32.609000,,-117.114000,,,,,,,,,,,,,,,,,
210100,,126070,DIAG,03-14-2014 10:18:32,,B,,,32.609000,,-117.114000,,32.609000,,-117.114000,,,,,,,,,,,,,
211358,,126070,DS,03-14-2014 10:28:36,,B,,,32.610000,,-117.114000,,,,,,,,,,,,,,,,,
210101,,126070,DIAG,03-14-2014 10:28:36,,B,,,32.610000,,-117.114000,,32.610000,,-117.114000,,,,,,,,,,,,,
211359,,126070,DS,03-14-2014 11:57:18,,B,,,32.613000,,-117.122000,,,,,,,,,,,,,,,,,
210102,,126070,DIAG,03-14-2014 11:57:18,,B,,,32.613000,,-117.122000,,32.613000,,-117.122000,,,,,,,,,,,,,
211360,,126070,DS,03-14-2014 13:35:11,,B,,,32.619000,,-117.117000,,,,,,,,,,,,,,,,,
210103,,126070,DIAG,03-14-2014 13:35:11,,B,,,32.619000,,-117.117000,,32.619000,,-117.117000,,,,,,,,,,,,,
